CAN Message; 0x1d3:00004cb9e1dd0972
Timestamp;Amplitude
1739209782.435842;-45.120503652039325
1739209782.4358425;-35.57807855764607
1739209782.4358432;-45.120503652039325
1739209782.4358437;-38.13080360867914
1739209782.4358442;-38.13080360867914
1739209782.4358447;-35.57807855764607
1739209782.4358454;-38.13080360867914
1739209782.4358459;-38.13080360867914
1739209782.4358463;-38.13080360867914
1739209782.4358468;-38.13080360867914
1739209782.4358475;-38.13080360867914
1739209782.435848;-35.57807855764607
1739209782.4358485;-35.57807855764607
1739209782.435849;-45.120503652039325
1739209782.4358497;-45.120503652039325
1739209782.4358501;-33.981070128970906
1739209782.4358506;-45.120503652039325
1739209782.4358513;-45.120503652039325
1739209782.4358518;-45.120503652039325
1739209782.4358523;-33.981070128970906
1739209782.4358528;-45.120503652039325
1739209782.4358535;-38.13080360867914
1739209782.435854;-45.120503652039325
1739209782.4358544;-38.13080360867914
1739209782.435855;-32.816014438256545
1739209782.4358556;-45.120503652039325
1739209782.435856;-45.120503652039325
1739209782.4358566;-38.13080360867914
1739209782.435857;-38.13080360867914
1739209782.4358578;-31.141103565318915
1739209782.4358582;-38.13080360867914
1739209782.4358587;-38.13080360867914
1739209782.4358594;-38.13080360867914
1739209782.43586;-38.13080360867914
1739209782.4358604;-38.13080360867914
1739209782.4358609;-45.120503652039325
1739209782.4358616;-45.120503652039325
1739209782.435862;-45.120503652039325
1739209782.4358625;-45.120503652039325
1739209782.435863;-45.120503652039325
1739209782.4358637;-45.120503652039325
1739209782.4358642;-38.13080360867914
1739209782.4358647;-45.120503652039325
1739209782.4358654;-45.120503652039325
1739209782.4358659;-45.120503652039325
1739209782.4358664;-33.981070128970906
1739209782.4358668;-38.13080360867914
1739209782.4358675;-35.57807855764607
1739209782.435868;-31.141103565318893
1739209782.4358685;-35.57807855764607
1739209782.435869;-35.57807855764607
1739209782.4358697;-45.120503652039325
1739209782.4358702;-45.120503652039325
1739209782.4358706;-38.13080360867914
1739209782.4358711;-35.57807855764607
1739209782.4358718;-45.120503652039325
1739209782.4358723;-45.120503652039325
1739209782.4358728;-38.13080360867914
1739209782.4358735;-38.13080360867914
1739209782.435874;-38.13080360867914
1739209782.4358745;-45.120503652039325
1739209782.435875;-38.13080360867914
1739209782.4358757;-38.13080360867914
1739209782.4358761;-45.120503652039325
1739209782.4358766;-38.13080360867914
1739209782.435877;-45.120503652039325
1739209782.4358778;-45.120503652039325
1739209782.4358783;-32.816014438256545
1739209782.4358788;-32.816014438256545
1739209782.4358792;-38.13080360867914
1739209782.43588;-45.120503652039325
1739209782.4358804;-45.120503652039325
1739209782.435881;-33.981070128970906
1739209782.4358816;-45.120503652039325
1739209782.435882;-45.120503652039325
1739209782.4358826;-45.120503652039325
1739209782.435883;-45.120503652039325
1739209782.4358838;-45.120503652039325
1739209782.4358842;-45.120503652039325
1739209782.4358847;-45.120503652039325
1739209782.4358852;-38.13080360867914
1739209782.435886;-45.120503652039325
1739209782.4358864;-45.120503652039325
1739209782.4358869;-33.981070128970906
1739209782.4358873;-45.120503652039325
1739209782.435888;-45.120503652039325
1739209782.4358885;-38.13080360867914
1739209782.435889;-38.13080360867914
1739209782.4358897;-26.991370085610722
1739209782.4358902;-38.13080360867914
1739209782.4358907;-45.120503652039325
1739209782.4358912;-33.981070128970906
1739209782.4358919;-30.49652367304973
1739209782.4358923;-38.13080360867914
1739209782.4358928;-45.120503652039325
1739209782.4358933;-38.13080360867914
1739209782.435894;-45.120503652039325
1739209782.4358945;-45.120503652039325
1739209782.435895;-45.120503652039325
1739209782.4358954;-38.13080360867914
1739209782.4358962;-45.120503652039325
1739209782.4358966;-38.13080360867914
1739209782.435897;-45.120503652039325
1739209782.4358978;-38.13080360867914
1739209782.4358983;-30.49652367304973
1739209782.4358988;-45.120503652039325
1739209782.4358993;-45.120503652039325
1739209782.4359;-38.13080360867914
1739209782.4359004;-35.57807855764607
1739209782.435901;-45.120503652039325
1739209782.4359014;-45.120503652039325
1739209782.435902;-45.120503652039325
1739209782.4359026;-38.13080360867914
1739209782.435903;-38.13080360867914
1739209782.4359035;-45.120503652039325
1739209782.4359043;-45.120503652039325
1739209782.4359047;-45.120503652039325
1739209782.4359052;-45.120503652039325
1739209782.435906;-45.120503652039325
1739209782.4359064;-45.120503652039325
1739209782.435907;-45.120503652039325
1739209782.4359074;-38.13080360867914
