CAN Message; 0x1d3:00004b26ad21d818
Timestamp;Amplitude
1739209807.0958855;-38.13080360867914
1739209807.0958912;-38.13080360867914
1739209807.095897;-45.120503652039325
1739209807.0959027;-45.120503652039325
1739209807.0959086;-45.120503652039325
1739209807.0959144;-45.120503652039325
1739209807.09592;-45.120503652039325
1739209807.095926;-45.120503652039325
1739209807.0959318;-38.13080360867914
1739209807.0959375;-38.13080360867914
1739209807.0959432;-35.57807855764607
1739209807.0959492;-45.120503652039325
1739209807.095955;-38.13080360867914
1739209807.0959606;-38.13080360867914
1739209807.0959663;-38.13080360867914
1739209807.0959723;-38.13080360867914
1739209807.095978;-45.120503652039325
1739209807.0959837;-45.120503652039325
1739209807.0959897;-38.13080360867914
1739209807.0959954;-38.13080360867914
1739209807.0960011;-45.120503652039325
1739209807.0960069;-45.120503652039325
1739209807.0960128;-45.120503652039325
1739209807.0960186;-38.13080360867914
1739209807.0960243;-32.816014438256545
1739209807.0960302;-38.13080360867914
1739209807.096036;-38.13080360867914
1739209807.0960417;-35.57807855764607
1739209807.0960474;-45.120503652039325
1739209807.0960534;-33.981070128970906
1739209807.096059;-45.120503652039325
1739209807.0960648;-38.13080360867914
1739209807.0960705;-38.13080360867914
1739209807.0960765;-45.120503652039325
1739209807.0960822;-38.13080360867914
1739209807.096088;-45.120503652039325
1739209807.096094;-38.13080360867914
1739209807.0960996;-33.981070128970906
1739209807.0961053;-38.13080360867914
1739209807.096111;-38.13080360867914
1739209807.096117;-45.120503652039325
1739209807.0961227;-31.141103565318915
1739209807.0961285;-32.816014438256545
1739209807.0961342;-38.13080360867914
1739209807.0961401;-45.120503652039325
1739209807.0961459;-38.13080360867914
1739209807.0961516;-33.981070128970906
1739209807.0961576;-38.13080360867914
1739209807.0961633;-45.120503652039325
1739209807.096169;-38.13080360867914
1739209807.0961747;-38.13080360867914
1739209807.0961807;-45.120503652039325
1739209807.0961864;-38.13080360867914
1739209807.0961921;-38.13080360867914
1739209807.096198;-45.120503652039325
1739209807.0962038;-38.13080360867914
1739209807.0962095;-38.13080360867914
1739209807.0962152;-38.13080360867914
1739209807.0962212;-45.120503652039325
1739209807.096227;-45.120503652039325
1739209807.0962327;-38.13080360867914
1739209807.0962384;-28.992665084841942
1739209807.0962443;-45.120503652039325
1739209807.09625;-45.120503652039325
1739209807.0962558;-45.120503652039325
1739209807.0962617;-45.120503652039325
1739209807.0962675;-45.120503652039325
1739209807.0962732;-45.120503652039325
1739209807.096279;-38.13080360867914
1739209807.0962849;-32.816014438256545
1739209807.0962906;-45.120503652039325
1739209807.0962963;-45.120503652039325
1739209807.0963023;-33.981070128970906
1739209807.096308;-38.13080360867914
1739209807.0963137;-45.120503652039325
1739209807.0963194;-38.13080360867914
1739209807.0963254;-38.13080360867914
1739209807.0963311;-45.120503652039325
1739209807.0963368;-38.13080360867914
1739209807.0963426;-45.120503652039325
1739209807.0963485;-38.13080360867914
1739209807.0963542;-38.13080360867914
1739209807.09636;-45.120503652039325
1739209807.096366;-45.120503652039325
1739209807.0963717;-45.120503652039325
1739209807.0963774;-31.141103565318915
1739209807.096383;-35.57807855764607
1739209807.096389;-45.120503652039325
1739209807.0963948;-38.13080360867914
1739209807.0964005;-33.981070128970906
1739209807.0964062;-45.120503652039325
1739209807.0964122;-45.120503652039325
1739209807.096418;-38.13080360867914
1739209807.0964236;-32.81601443825658
1739209807.0964296;-38.13080360867914
1739209807.0964353;-38.13080360867914
1739209807.096441;-45.120503652039325
1739209807.0964468;-38.13080360867914
1739209807.0964527;-35.57807855764607
1739209807.0964584;-45.120503652039325
1739209807.0964642;-45.120503652039325
1739209807.09647;-33.981070128970906
1739209807.0964758;-35.57807855764607
1739209807.0964816;-45.120503652039325
1739209807.0964873;-45.120503652039325
1739209807.0964932;-45.120503652039325
1739209807.096499;-45.120503652039325
1739209807.0965047;-45.120503652039325
1739209807.0965104;-45.120503652039325
1739209807.0965164;-31.141103565318915
1739209807.096522;-35.57807855764607
1739209807.0965278;-45.120503652039325
1739209807.0965338;-38.13080360867914
1739209807.0965395;-38.13080360867914
1739209807.0965452;-45.120503652039325
1739209807.096551;-38.13080360867914
1739209807.096557;-45.120503652039325
1739209807.0965626;-45.120503652039325
1739209807.0965683;-38.13080360867914
1739209807.096574;-38.13080360867914
1739209807.09658;-38.13080360867914
1739209807.0965858;-38.13080360867914
1739209807.0965915;-35.57807855764607
1739209807.0965974;-45.120503652039325
1739209807.0966032;-38.13080360867914
1739209807.0966089;-38.13080360867914
1739209807.0966146;-45.120503652039325
1739209807.0966206;-38.13080360867914
1739209807.0966263;-38.13080360867914
1739209807.096632;-45.120503652039325
1739209807.096638;-45.120503652039325
1739209807.0966437;-38.13080360867914
1739209807.0966494;-35.57807855764607
1739209807.0966551;-38.13080360867914
1739209807.096661;-45.120503652039325
1739209807.0966668;-38.13080360867914
1739209807.0966725;-35.57807855764607
1739209807.0966783;-38.13080360867914
1739209807.0966842;-38.13080360867914
1739209807.09669;-38.13080360867914
1739209807.0966957;-38.13080360867914
1739209807.0967016;-38.13080360867914
1739209807.0967073;-35.57807855764607
1739209807.096713;-45.120503652039325
1739209807.0967188;-38.13080360867914
1739209807.0967247;-45.120503652039325
1739209807.0967305;-45.120503652039325
1739209807.0967362;-38.13080360867914
1739209807.0967422;-45.120503652039325
1739209807.0967479;-45.120503652039325
1739209807.0967536;-45.120503652039325
1739209807.0967593;-38.13080360867914
1739209807.0967653;-38.13080360867914
1739209807.096771;-38.13080360867914
1739209807.0967767;-38.13080360867914
1739209807.0967824;-45.120503652039325
1739209807.0967884;-45.120503652039325
1739209807.0967941;-45.120503652039325
1739209807.0967999;-33.981070128970906
1739209807.0968058;-38.13080360867914
1739209807.0968115;-45.120503652039325
1739209807.0968173;-38.13080360867914
1739209807.096823;-35.57807855764607
1739209807.096829;-38.13080360867914
1739209807.0968347;-45.120503652039325
1739209807.0968404;-38.13080360867914
1739209807.096846;-38.13080360867914
1739209807.096852;-38.13080360867914
1739209807.0968578;-45.120503652039325
1739209807.0968635;-45.120503652039325
1739209807.0968695;-38.13080360867914
1739209807.0968752;-45.120503652039325
1739209807.096881;-45.120503652039325
1739209807.0968866;-38.13080360867914
1739209807.0968926;-32.816014438256545
1739209807.0968983;-38.13080360867914
1739209807.096904;-45.120503652039325
1739209807.09691;-38.13080360867914
1739209807.0969157;-30.49652367304973
1739209807.0969214;-38.13080360867914
1739209807.0969272;-45.120503652039325
1739209807.0969331;-38.13080360867914
1739209807.0969388;-30.49652367304973
1739209807.0969446;-38.13080360867914
1739209807.0969503;-38.13080360867914
