CAN Message; 0x1d3:0000f380296f15e1
Timestamp;Amplitude
1739209738.638494;-38.13080360867914
1739209738.6384976;-35.57807855764607
1739209738.6385012;-45.120503652039325
1739209738.6385047;-45.120503652039325
1739209738.6385086;-38.13080360867914
1739209738.6385121;-33.981070128970906
1739209738.6385157;-45.120503652039325
1739209738.6385195;-45.120503652039325
1739209738.638523;-45.120503652039325
1739209738.6385267;-45.120503652039325
1739209738.6385303;-45.120503652039325
1739209738.638534;-38.13080360867914
1739209738.6385376;-45.120503652039325
1739209738.6385412;-38.13080360867914
1739209738.638545;-45.120503652039325
1739209738.6385486;-38.13080360867914
1739209738.6385522;-38.13080360867914
1739209738.6385558;-45.120503652039325
1739209738.6385596;-38.13080360867914
1739209738.6385632;-45.120503652039325
1739209738.6385667;-38.13080360867914
1739209738.6385705;-38.13080360867914
1739209738.6385741;-38.13080360867914
1739209738.6385777;-38.13080360867914
1739209738.6385813;-38.13080360867914
1739209738.638585;-38.13080360867914
1739209738.6385887;-45.120503652039325
1739209738.6385922;-38.13080360867914
1739209738.638596;-38.13080360867914
1739209738.6385996;-45.120503652039325
1739209738.6386032;-45.120503652039325
1739209738.638607;-45.120503652039325
1739209738.6386106;-38.13080360867914
1739209738.6386142;-38.13080360867914
1739209738.6386178;-38.13080360867914
1739209738.6386216;-35.57807855764607
1739209738.6386251;-38.13080360867914
1739209738.6386287;-45.120503652039325
1739209738.6386325;-45.120503652039325
1739209738.638636;-38.13080360867914
1739209738.6386397;-38.13080360867914
1739209738.6386433;-38.13080360867914
1739209738.638647;-38.13080360867914
1739209738.6386507;-38.13080360867914
1739209738.6386542;-38.13080360867914
1739209738.638658;-45.120503652039325
1739209738.6386616;-38.13080360867914
1739209738.6386652;-33.981070128970906
1739209738.6386688;-38.13080360867914
1739209738.6386726;-45.120503652039325
1739209738.6386762;-45.120503652039325
1739209738.6386797;-45.120503652039325
1739209738.6386836;-45.120503652039325
1739209738.6386871;-45.120503652039325
1739209738.6386907;-38.13080360867914
1739209738.6386945;-45.120503652039325
1739209738.638698;-38.13080360867914
1739209738.6387017;-45.120503652039325
1739209738.6387053;-38.13080360867914
1739209738.638709;-38.13080360867914
1739209738.6387126;-38.13080360867914
1739209738.6387162;-45.120503652039325
1739209738.63872;-38.13080360867914
1739209738.6387236;-35.57807855764607
1739209738.6387272;-45.120503652039325
1739209738.6387308;-45.120503652039325
1739209738.6387346;-45.120503652039325
1739209738.6387382;-33.981070128970906
1739209738.6387417;-31.141103565318915
1739209738.6387455;-35.57807855764607
1739209738.6387491;-45.120503652039325
1739209738.6387527;-45.120503652039325
1739209738.6387563;-33.981070128970906
1739209738.63876;-35.57807855764607
1739209738.6387637;-38.13080360867914
1739209738.6387672;-38.13080360867914
1739209738.638771;-31.141103565318915
1739209738.6387746;-38.13080360867914
1739209738.6387782;-38.13080360867914
1739209738.6387818;-38.13080360867914
1739209738.6387856;-38.13080360867914
1739209738.6387892;-38.13080360867914
1739209738.6387928;-45.120503652039325
1739209738.6387966;-33.981070128970906
1739209738.6388001;-31.141103565318915
1739209738.6388037;-45.120503652039325
1739209738.6388075;-38.13080360867914
1739209738.638811;-38.13080360867914
1739209738.6388147;-38.13080360867914
1739209738.6388183;-45.120503652039325
1739209738.638822;-38.13080360867914
1739209738.6388257;-33.981070128970906
1739209738.6388292;-30.49652367304973
1739209738.638833;-45.120503652039325
1739209738.6388366;-45.120503652039325
1739209738.6388402;-38.13080360867914
1739209738.6388438;-38.13080360867914
1739209738.6388476;-38.13080360867914
1739209738.6388512;-38.13080360867914
