CAN Message; 0x24:0deb045ad871c455
Timestamp;Amplitude
1739209810.255695;-45.120503652039325
1739209810.2556987;-38.13080360867914
1739209810.2557023;-45.120503652039325
1739209810.255706;-45.120503652039325
1739209810.2557096;-38.13080360867914
1739209810.2557135;-38.13080360867914
1739209810.255717;-45.120503652039325
1739209810.2557206;-38.13080360867914
1739209810.2557244;-33.981070128970906
1739209810.255728;-38.13080360867914
1739209810.2557318;-45.120503652039325
1739209810.2557354;-38.13080360867914
1739209810.255739;-38.13080360867914
1739209810.2557428;-35.57807855764607
1739209810.2557464;-38.13080360867914
1739209810.2557502;-38.13080360867914
1739209810.2557538;-33.981070128970906
1739209810.2557573;-45.120503652039325
1739209810.2557611;-45.120503652039325
1739209810.2557647;-38.13080360867914
1739209810.2557683;-38.13080360867914
1739209810.255772;-45.120503652039325
1739209810.2557757;-45.120503652039325
1739209810.2557795;-38.13080360867914
1739209810.255783;-38.13080360867914
1739209810.2557867;-33.981070128970906
1739209810.2557905;-38.13080360867914
1739209810.255794;-38.13080360867914
1739209810.2557979;-45.120503652039325
1739209810.2558014;-45.120503652039325
1739209810.255805;-45.120503652039325
1739209810.2558088;-45.120503652039325
1739209810.2558124;-45.120503652039325
1739209810.2558162;-38.13080360867914
1739209810.2558198;-45.120503652039325
1739209810.2558234;-45.120503652039325
1739209810.2558272;-45.120503652039325
1739209810.2558308;-38.13080360867914
1739209810.2558343;-35.57807855764607
1739209810.2558382;-45.120503652039325
1739209810.2558417;-32.816014438256545
1739209810.2558455;-38.13080360867914
1739209810.2558491;-45.120503652039325
1739209810.2558527;-38.13080360867914
1739209810.2558565;-45.120503652039325
1739209810.25586;-38.13080360867914
1739209810.255864;-38.13080360867914
1739209810.2558675;-38.13080360867914
1739209810.255871;-38.13080360867914
1739209810.2558749;-38.13080360867914
1739209810.2558784;-38.13080360867914
1739209810.2558823;-45.120503652039325
1739209810.2558858;-45.120503652039325
1739209810.2558894;-45.120503652039325
1739209810.2558932;-38.13080360867914
1739209810.2558968;-38.13080360867914
1739209810.2559004;-33.981070128970906
1739209810.2559042;-31.141103565318915
1739209810.2559078;-38.13080360867914
1739209810.2559116;-38.13080360867914
