CAN Message; 0x1a7:00009554a4dcd93b
Timestamp;Amplitude
1739209828.6927774;-45.120503652039325
1739209828.692785;-45.120503652039325
1739209828.6927924;-38.13080360867914
1739209828.6928;-38.13080360867914
1739209828.6928077;-38.13080360867914
1739209828.692815;-38.13080360867914
1739209828.6928227;-35.57807855764607
1739209828.6928303;-38.13080360867914
1739209828.6928377;-38.13080360867914
1739209828.6928453;-38.13080360867914
1739209828.692853;-45.120503652039325
1739209828.6928604;-45.120503652039325
1739209828.692868;-33.981070128970906
1739209828.6928756;-45.120503652039325
1739209828.6928833;-45.120503652039325
1739209828.6928906;-38.13080360867914
1739209828.6928983;-35.57807855764607
1739209828.692906;-38.13080360867914
1739209828.6929133;-38.13080360867914
1739209828.692921;-33.981070128970906
1739209828.6929286;-38.13080360867914
1739209828.692936;-38.13080360867914
1739209828.6929436;-35.57807855764607
1739209828.6929512;-33.981070128970906
1739209828.6929586;-38.13080360867914
1739209828.6929662;-45.120503652039325
1739209828.6929739;-38.13080360867914
1739209828.6929812;-38.13080360867914
1739209828.6929889;-38.13080360867914
1739209828.6929965;-38.13080360867914
1739209828.693004;-45.120503652039325
1739209828.6930115;-38.13080360867914
1739209828.6930192;-38.13080360867914
1739209828.6930265;-38.13080360867914
1739209828.6930342;-33.981070128970906
1739209828.6930418;-33.981070128970906
1739209828.6930494;-38.13080360867914
1739209828.6930568;-38.13080360867914
1739209828.6930645;-38.13080360867914
1739209828.693072;-38.13080360867914
1739209828.6930795;-45.120503652039325
1739209828.693087;-45.120503652039325
1739209828.6930947;-38.13080360867914
1739209828.6931021;-38.13080360867914
1739209828.6931098;-38.13080360867914
1739209828.6931174;-33.981070128970906
1739209828.6931248;-38.13080360867914
1739209828.6931324;-38.13080360867914
1739209828.69314;-38.13080360867914
1739209828.6931474;-38.13080360867914
1739209828.693155;-38.13080360867914
1739209828.6931627;-38.13080360867914
1739209828.69317;-45.120503652039325
1739209828.6931777;-38.13080360867914
1739209828.6931853;-38.13080360867914
