CAN Message; 0x1a7:0000045c1fd8a93d
Timestamp;Amplitude
1739209848.848751;-45.120503652039325
1739209848.8487532;-33.981070128970906
1739209848.8487554;-35.57807855764607
1739209848.8487573;-45.120503652039325
1739209848.8487594;-45.120503652039325
1739209848.8487616;-45.120503652039325
1739209848.8487635;-45.120503652039325
1739209848.8487656;-38.13080360867914
1739209848.8487678;-38.13080360867914
1739209848.8487697;-45.120503652039325
1739209848.8487718;-45.120503652039325
1739209848.848774;-38.13080360867914
1739209848.8487759;-45.120503652039325
1739209848.848778;-45.120503652039325
1739209848.8487802;-38.13080360867914
1739209848.848782;-45.120503652039325
1739209848.8487842;-38.13080360867914
1739209848.8487864;-45.120503652039325
1739209848.8487883;-45.120503652039325
1739209848.8487904;-45.120503652039325
1739209848.8487926;-38.13080360867914
1739209848.8487945;-38.13080360867914
1739209848.8487966;-29.438486411369333
1739209848.8487988;-32.816014438256545
1739209848.8488007;-38.13080360867914
1739209848.8488028;-35.57807855764607
1739209848.848805;-38.13080360867914
1739209848.8488069;-45.120503652039325
1739209848.848809;-45.120503652039325
1739209848.8488111;-45.120503652039325
1739209848.848813;-45.120503652039325
1739209848.8488152;-45.120503652039325
1739209848.8488173;-38.13080360867914
1739209848.8488193;-45.120503652039325
1739209848.8488214;-35.57807855764607
1739209848.8488235;-38.13080360867914
1739209848.8488255;-45.120503652039325
1739209848.8488276;-45.120503652039325
1739209848.8488297;-38.13080360867914
1739209848.8488317;-38.13080360867914
1739209848.8488338;-45.120503652039325
1739209848.848836;-38.13080360867914
1739209848.8488379;-45.120503652039325
1739209848.84884;-45.120503652039325
1739209848.8488421;-45.120503652039325
1739209848.848844;-45.120503652039325
1739209848.8488462;-31.141103565318893
1739209848.8488483;-38.13080360867914
1739209848.8488503;-45.120503652039325
1739209848.8488524;-38.13080360867914
1739209848.8488545;-35.57807855764607
1739209848.8488564;-38.13080360867914
1739209848.8488586;-45.120503652039325
1739209848.8488607;-45.120503652039325
1739209848.8488626;-45.120503652039325
1739209848.8488648;-45.120503652039325
1739209848.848867;-38.13080360867914
1739209848.8488688;-38.13080360867914
1739209848.848871;-45.120503652039325
1739209848.8488731;-38.13080360867914
1739209848.848875;-38.13080360867914
1739209848.8488772;-38.13080360867914
1739209848.8488793;-35.57807855764607
1739209848.8488812;-38.13080360867914
1739209848.8488834;-38.13080360867914
1739209848.8488855;-45.120503652039325
1739209848.8488874;-38.13080360867914
1739209848.8488896;-38.13080360867914
1739209848.8488917;-35.57807855764607
1739209848.8488936;-35.57807855764607
1739209848.8488958;-45.120503652039325
1739209848.848898;-38.13080360867914
1739209848.8488998;-32.816014438256545
1739209848.848902;-38.13080360867914
1739209848.8489041;-45.120503652039325
1739209848.848906;-45.120503652039325
1739209848.8489082;-38.13080360867914
1739209848.8489103;-45.120503652039325
1739209848.8489122;-45.120503652039325
1739209848.8489144;-45.120503652039325
1739209848.8489165;-38.13080360867914
1739209848.8489184;-38.13080360867914
1739209848.8489206;-45.120503652039325
1739209848.8489227;-45.120503652039325
1739209848.8489246;-38.13080360867914
1739209848.8489268;-38.13080360867914
1739209848.848929;-38.13080360867914
1739209848.8489308;-33.981070128970906
1739209848.848933;-45.120503652039325
1739209848.8489351;-45.120503652039325
1739209848.848937;-38.13080360867914
1739209848.8489392;-38.13080360867914
1739209848.8489413;-33.981070128970906
1739209848.8489432;-38.13080360867914
1739209848.8489454;-45.120503652039325
1739209848.8489475;-38.13080360867914
1739209848.8489494;-38.13080360867914
1739209848.8489516;-38.13080360867914
1739209848.8489537;-45.120503652039325
1739209848.8489559;-45.120503652039325
1739209848.8489578;-33.981070128970906
1739209848.84896;-33.981070128970906
1739209848.848962;-38.13080360867914
1739209848.848964;-33.981070128970906
