CAN Message; 0x1bb:00006f54a8fc900e
Timestamp;Amplitude
1739209717.8146431;-45.120503652039325
1739209717.8146472;-45.120503652039325
1739209717.8146513;-38.13080360867914
1739209717.814655;-45.120503652039325
1739209717.814659;-45.120503652039325
1739209717.8146632;-45.120503652039325
1739209717.8146672;-45.120503652039325
1739209717.8146713;-45.120503652039325
1739209717.8146753;-38.13080360867914
1739209717.8146794;-35.57807855764607
1739209717.8146832;-38.13080360867914
1739209717.8146873;-45.120503652039325
1739209717.8146913;-38.13080360867914
1739209717.8146954;-38.13080360867914
1739209717.8146994;-38.13080360867914
1739209717.8147035;-45.120503652039325
1739209717.8147075;-45.120503652039325
1739209717.8147113;-38.13080360867914
1739209717.8147154;-33.981070128970906
1739209717.8147194;-45.120503652039325
1739209717.8147235;-45.120503652039325
1739209717.8147275;-38.13080360867914
1739209717.8147316;-38.13080360867914
1739209717.8147354;-38.13080360867914
1739209717.8147395;-38.13080360867914
1739209717.8147435;-35.57807855764607
1739209717.8147476;-38.13080360867914
1739209717.8147516;-38.13080360867914
1739209717.8147557;-38.13080360867914
1739209717.8147597;-38.13080360867914
1739209717.8147635;-38.13080360867914
1739209717.8147676;-45.120503652039325
1739209717.8147717;-45.120503652039325
1739209717.8147757;-45.120503652039325
1739209717.8147798;-38.13080360867914
1739209717.8147838;-45.120503652039325
1739209717.8147879;-45.120503652039325
1739209717.8147917;-45.120503652039325
1739209717.8147957;-38.13080360867914
1739209717.8147998;-45.120503652039325
1739209717.8148038;-38.13080360867914
1739209717.814808;-38.13080360867914
1739209717.814812;-30.49652367304973
1739209717.814816;-38.13080360867914
1739209717.8148198;-38.13080360867914
1739209717.8148239;-38.13080360867914
1739209717.814828;-38.13080360867914
1739209717.814832;-45.120503652039325
1739209717.814836;-38.13080360867914
1739209717.81484;-45.120503652039325
1739209717.8148441;-28.992665084841942
1739209717.814848;-35.57807855764607
1739209717.814852;-38.13080360867914
1739209717.814856;-45.120503652039325
1739209717.81486;-38.13080360867914
1739209717.8148642;-45.120503652039325
1739209717.8148682;-45.120503652039325
1739209717.8148723;-45.120503652039325
1739209717.814876;-33.981070128970906
1739209717.8148801;-45.120503652039325
1739209717.8148842;-45.120503652039325
1739209717.8148882;-45.120503652039325
1739209717.8148923;-38.13080360867914
1739209717.8148963;-45.120503652039325
1739209717.8149004;-38.13080360867914
1739209717.8149042;-45.120503652039325
1739209717.8149083;-38.13080360867914
1739209717.8149123;-45.120503652039325
1739209717.8149164;-45.120503652039325
1739209717.8149204;-33.981070128970906
1739209717.8149245;-45.120503652039325
1739209717.8149285;-45.120503652039325
1739209717.8149323;-38.13080360867914
1739209717.8149364;-45.120503652039325
1739209717.8149405;-28.992665084841942
1739209717.8149445;-45.120503652039325
1739209717.8149486;-38.13080360867914
1739209717.8149526;-45.120503652039325
1739209717.8149564;-38.13080360867914
1739209717.8149605;-45.120503652039325
1739209717.8149645;-45.120503652039325
1739209717.8149686;-45.120503652039325
1739209717.8149726;-32.81601443825658
1739209717.8149767;-45.120503652039325
1739209717.8149807;-45.120503652039325
1739209717.8149846;-38.13080360867914
1739209717.8149886;-38.13080360867914
1739209717.8149927;-35.57807855764607
1739209717.8149967;-38.13080360867914
1739209717.8150008;-38.13080360867914
1739209717.8150048;-29.438486411369333
1739209717.8150089;-33.981070128970906
1739209717.8150127;-45.120503652039325
1739209717.8150167;-38.13080360867914
1739209717.8150208;-45.120503652039325
1739209717.8150249;-38.13080360867914
1739209717.815029;-35.57807855764607
1739209717.815033;-38.13080360867914
1739209717.815037;-45.120503652039325
1739209717.8150408;-38.13080360867914
1739209717.8150449;-35.57807855764607
1739209717.815049;-45.120503652039325
1739209717.815053;-45.120503652039325
1739209717.815057;-38.13080360867914
1739209717.815061;-35.57807855764607
1739209717.8150651;-35.57807855764607
1739209717.815069;-38.13080360867914
1739209717.815073;-45.120503652039325
1739209717.815077;-38.13080360867914
1739209717.8150811;-45.120503652039325
1739209717.8150852;-45.120503652039325
1739209717.8150892;-38.13080360867914
1739209717.8150933;-38.13080360867914
1739209717.815097;-38.13080360867914
1739209717.8151011;-35.57807855764607
1739209717.8151052;-38.13080360867914
1739209717.8151093;-38.13080360867914
1739209717.8151133;-45.120503652039325
1739209717.8151174;-35.57807855764607
1739209717.8151214;-45.120503652039325
1739209717.8151252;-45.120503652039325
1739209717.8151293;-38.13080360867914
1739209717.8151333;-38.13080360867914
1739209717.8151374;-45.120503652039325
1739209717.8151414;-38.13080360867914
1739209717.8151455;-35.57807855764607
1739209717.8151493;-45.120503652039325
1739209717.8151534;-38.13080360867914
1739209717.8151574;-33.981070128970906
1739209717.8151615;-45.120503652039325
1739209717.8151655;-38.13080360867914
1739209717.8151696;-38.13080360867914
1739209717.8151736;-45.120503652039325
1739209717.8151774;-35.57807855764607
1739209717.8151815;-45.120503652039325
1739209717.8151855;-45.120503652039325
1739209717.8151896;-45.120503652039325
1739209717.8151937;-38.13080360867914
1739209717.8151977;-38.13080360867914
1739209717.8152018;-45.120503652039325
