CAN Message; 0x150:0000a4ea39d64581
Timestamp;Amplitude
1739209818.9944966;-38.13080360867914
1739209818.9945047;-45.120503652039325
1739209818.9945128;-45.120503652039325
1739209818.994521;-45.120503652039325
1739209818.994529;-45.120503652039325
1739209818.994537;-38.13080360867914
1739209818.9945452;-45.120503652039325
1739209818.9945533;-38.13080360867914
1739209818.9945612;-35.57807855764607
1739209818.9945693;-35.57807855764607
1739209818.9945774;-35.57807855764607
1739209818.9945855;-45.120503652039325
1739209818.9945936;-38.13080360867914
1739209818.9946017;-38.13080360867914
1739209818.9946098;-38.13080360867914
1739209818.994618;-38.13080360867914
1739209818.994626;-45.120503652039325
1739209818.9946342;-45.120503652039325
1739209818.9946423;-45.120503652039325
1739209818.9946504;-45.120503652039325
1739209818.9946585;-45.120503652039325
1739209818.9946666;-38.13080360867914
1739209818.9946747;-38.13080360867914
1739209818.9946828;-45.120503652039325
1739209818.9946907;-38.13080360867914
1739209818.9946988;-35.57807855764607
1739209818.9947069;-38.13080360867914
1739209818.994715;-45.120503652039325
1739209818.994723;-38.13080360867914
1739209818.9947312;-38.13080360867914
1739209818.9947393;-45.120503652039325
1739209818.9947474;-45.120503652039325
