CAN Message; 0x1bb:0000f8090f41031c
Timestamp;Amplitude
1739209741.1803982;-38.13080360867914
1739209741.1803997;-32.816014438256545
1739209741.1804008;-45.120503652039325
1739209741.180402;-45.120503652039325
1739209741.1804035;-38.13080360867914
1739209741.1804047;-33.981070128970906
1739209741.1804059;-33.981070128970906
1739209741.1804073;-45.120503652039325
1739209741.1804085;-38.13080360867914
1739209741.1804097;-33.981070128970906
1739209741.180411;-33.981070128970906
1739209741.1804123;-38.13080360867914
1739209741.1804137;-33.981070128970906
1739209741.180415;-35.57807855764607
1739209741.180416;-38.13080360867914
1739209741.1804175;-45.120503652039325
1739209741.1804187;-38.13080360867914
1739209741.18042;-45.120503652039325
1739209741.1804214;-45.120503652039325
1739209741.1804225;-45.120503652039325
1739209741.1804237;-38.13080360867914
1739209741.1804252;-38.13080360867914
1739209741.1804264;-45.120503652039325
1739209741.1804278;-45.120503652039325
1739209741.180429;-38.13080360867914
1739209741.1804302;-38.13080360867914
1739209741.1804316;-45.120503652039325
1739209741.1804328;-45.120503652039325
1739209741.180434;-38.13080360867914
1739209741.1804354;-28.992665084841942
1739209741.1804366;-27.267205301931607
1739209741.1804378;-38.13080360867914
1739209741.1804392;-38.13080360867914
1739209741.1804404;-32.816014438256545
1739209741.1804419;-38.13080360867914
1739209741.180443;-35.57807855764607
1739209741.1804442;-45.120503652039325
1739209741.1804457;-38.13080360867914
1739209741.1804469;-33.981070128970906
1739209741.180448;-38.13080360867914
1739209741.1804495;-45.120503652039325
1739209741.1804507;-38.13080360867914
1739209741.1804519;-33.981070128970906
1739209741.1804533;-38.13080360867914
1739209741.1804545;-45.120503652039325
1739209741.1804557;-38.13080360867914
1739209741.180457;-33.981070128970906
1739209741.1804583;-38.13080360867914
1739209741.1804597;-38.13080360867914
1739209741.180461;-45.120503652039325
1739209741.1804621;-33.981070128970906
1739209741.1804636;-38.13080360867914
1739209741.1804647;-45.120503652039325
1739209741.180466;-45.120503652039325
1739209741.1804674;-38.13080360867914
1739209741.1804686;-35.57807855764607
1739209741.1804698;-38.13080360867914
1739209741.1804712;-38.13080360867914
1739209741.1804724;-45.120503652039325
1739209741.1804738;-38.13080360867914
1739209741.180475;-38.13080360867914
1739209741.1804762;-38.13080360867914
1739209741.1804776;-33.981070128970906
1739209741.1804788;-38.13080360867914
1739209741.18048;-45.120503652039325
1739209741.1804814;-45.120503652039325
1739209741.1804826;-45.120503652039325
1739209741.1804838;-38.13080360867914
1739209741.1804852;-38.13080360867914
1739209741.1804864;-45.120503652039325
1739209741.1804879;-38.13080360867914
1739209741.180489;-35.57807855764607
1739209741.1804903;-45.120503652039325
1739209741.1804917;-45.120503652039325
1739209741.1804929;-38.13080360867914
1739209741.180494;-38.13080360867914
1739209741.1804955;-38.13080360867914
1739209741.1804967;-38.13080360867914
1739209741.180498;-25.826314394896357
1739209741.1804993;-33.981070128970906
1739209741.1805005;-38.13080360867914
1739209741.1805017;-38.13080360867914
1739209741.1805031;-38.13080360867914
1739209741.1805043;-38.13080360867914
1739209741.1805058;-38.13080360867914
1739209741.180507;-38.13080360867914
1739209741.1805081;-29.438486411369354
1739209741.1805096;-45.120503652039325
1739209741.1805108;-38.13080360867914
1739209741.180512;-38.13080360867914
1739209741.1805134;-38.13080360867914
1739209741.1805146;-38.13080360867914
1739209741.1805158;-38.13080360867914
1739209741.1805172;-45.120503652039325
1739209741.1805184;-28.992665084841942
1739209741.1805198;-38.13080360867914
1739209741.180521;-38.13080360867914
1739209741.1805222;-32.816014438256545
1739209741.1805236;-33.981070128970906
1739209741.1805248;-45.120503652039325
1739209741.180526;-38.13080360867914
1739209741.1805274;-32.816014438256545
1739209741.1805286;-31.141103565318943
1739209741.1805298;-45.120503652039325
1739209741.1805313;-35.57807855764607
1739209741.1805325;-33.981070128970906
1739209741.180534;-38.13080360867914
1739209741.180535;-45.120503652039325
1739209741.1805363;-33.981070128970906
1739209741.1805377;-38.13080360867914
1739209741.180539;-30.49652367304973
1739209741.18054;-32.816014438256545
1739209741.1805415;-45.120503652039325
1739209741.1805427;-32.816014438256545
1739209741.180544;-45.120503652039325
1739209741.1805453;-45.120503652039325
1739209741.1805465;-38.13080360867914
1739209741.1805477;-35.57807855764607
1739209741.1805491;-38.13080360867914
1739209741.1805503;-45.120503652039325
1739209741.1805518;-33.981070128970906
1739209741.180553;-35.57807855764607
1739209741.1805542;-45.120503652039325
1739209741.1805556;-45.120503652039325
1739209741.1805568;-38.13080360867914
