CAN Message; 0x1a7:00001b0c22d0b5b9
Timestamp;Amplitude
1739209781.2000375;-38.13080360867914
1739209781.2000415;-38.13080360867914
1739209781.2000456;-38.13080360867914
1739209781.2000496;-38.13080360867914
1739209781.2000537;-38.13080360867914
1739209781.2000577;-45.120503652039325
1739209781.2000618;-45.120503652039325
1739209781.2000659;-35.57807855764607
1739209781.20007;-35.57807855764607
1739209781.200074;-45.120503652039325
1739209781.200078;-45.120503652039325
1739209781.200082;-45.120503652039325
1739209781.200086;-38.13080360867914
1739209781.2000902;-38.13080360867914
1739209781.2000942;-45.120503652039325
1739209781.2000983;-45.120503652039325
1739209781.2001023;-33.981070128970906
1739209781.2001064;-38.13080360867914
1739209781.2001104;-45.120503652039325
1739209781.2001147;-45.120503652039325
1739209781.2001188;-38.13080360867914
1739209781.2001228;-38.13080360867914
1739209781.200127;-38.13080360867914
1739209781.200131;-45.120503652039325
1739209781.200135;-32.816014438256545
1739209781.200139;-33.981070128970906
1739209781.200143;-38.13080360867914
1739209781.2001472;-38.13080360867914
1739209781.2001512;-38.13080360867914
1739209781.2001553;-38.13080360867914
1739209781.2001593;-45.120503652039325
1739209781.2001634;-45.120503652039325
1739209781.2001674;-33.981070128970906
1739209781.2001715;-38.13080360867914
1739209781.2001755;-38.13080360867914
1739209781.2001796;-38.13080360867914
1739209781.2001836;-38.13080360867914
1739209781.2001877;-33.981070128970906
1739209781.2001917;-38.13080360867914
1739209781.2001958;-38.13080360867914
1739209781.2001998;-38.13080360867914
1739209781.200204;-38.13080360867914
1739209781.200208;-45.120503652039325
1739209781.200212;-45.120503652039325
1739209781.2002163;-38.13080360867914
1739209781.2002203;-45.120503652039325
1739209781.2002244;-38.13080360867914
1739209781.2002285;-38.13080360867914
1739209781.2002325;-38.13080360867914
1739209781.2002366;-45.120503652039325
1739209781.2002406;-45.120503652039325
1739209781.2002447;-45.120503652039325
1739209781.2002487;-35.57807855764607
1739209781.2002528;-38.13080360867914
1739209781.2002568;-45.120503652039325
1739209781.2002609;-35.57807855764607
1739209781.200265;-45.120503652039325
1739209781.200269;-38.13080360867914
1739209781.200273;-35.57807855764607
1739209781.200277;-38.13080360867914
1739209781.2002811;-45.120503652039325
1739209781.2002852;-35.57807855764607
1739209781.2002892;-38.13080360867914
1739209781.2002933;-38.13080360867914
1739209781.2002974;-35.57807855764607
1739209781.2003014;-38.13080360867914
1739209781.2003055;-38.13080360867914
1739209781.2003095;-38.13080360867914
1739209781.2003138;-35.57807855764607
1739209781.2003179;-45.120503652039325
1739209781.200322;-38.13080360867914
1739209781.200326;-38.13080360867914
1739209781.20033;-33.981070128970906
1739209781.200334;-45.120503652039325
1739209781.2003381;-38.13080360867914
1739209781.2003422;-45.120503652039325
1739209781.2003462;-38.13080360867914
1739209781.2003503;-38.13080360867914
1739209781.2003543;-45.120503652039325
1739209781.2003584;-38.13080360867914
1739209781.2003624;-45.120503652039325
