CAN Message; 0x1d3:00007f4287be82e8
Timestamp;Amplitude
1739209681.0758169;-38.13080360867914
1739209681.0758252;-45.120503652039325
1739209681.0758336;-32.816014438256545
1739209681.075842;-31.141103565318915
1739209681.0758502;-33.981070128970906
1739209681.0758584;-45.120503652039325
1739209681.0758667;-45.120503652039325
1739209681.075875;-35.57807855764607
1739209681.0758834;-38.13080360867914
1739209681.0758917;-45.120503652039325
1739209681.0759;-33.981070128970906
1739209681.0759082;-32.816014438256545
1739209681.0759165;-32.816014438256545
1739209681.0759249;-38.13080360867914
1739209681.0759332;-35.57807855764607
1739209681.0759416;-38.13080360867914
1739209681.0759497;-38.13080360867914
1739209681.075958;-38.13080360867914
1739209681.0759664;-45.120503652039325
1739209681.0759747;-38.13080360867914
1739209681.075983;-35.57807855764607
1739209681.0759914;-33.981070128970906
1739209681.0759995;-45.120503652039325
1739209681.0760078;-38.13080360867914
1739209681.0760162;-38.13080360867914
1739209681.0760245;-33.981070128970906
1739209681.0760329;-45.120503652039325
1739209681.0760412;-38.13080360867914
1739209681.0760493;-31.141103565318915
1739209681.0760577;-38.13080360867914
1739209681.076066;-45.120503652039325
1739209681.0760744;-35.57807855764607
1739209681.0760827;-38.13080360867914
1739209681.0760908;-45.120503652039325
1739209681.0760992;-45.120503652039325
1739209681.0761075;-38.13080360867914
1739209681.0761158;-32.81601443825658
1739209681.0761242;-38.13080360867914
1739209681.0761325;-45.120503652039325
1739209681.0761406;-45.120503652039325
1739209681.076149;-38.13080360867914
1739209681.0761573;-38.13080360867914
1739209681.0761657;-45.120503652039325
1739209681.076174;-38.13080360867914
1739209681.0761824;-38.13080360867914
1739209681.0761905;-38.13080360867914
1739209681.0761988;-38.13080360867914
1739209681.0762072;-45.120503652039325
1739209681.0762155;-45.120503652039325
1739209681.0762239;-45.120503652039325
1739209681.076232;-45.120503652039325
1739209681.0762403;-38.13080360867914
1739209681.0762486;-45.120503652039325
1739209681.076257;-45.120503652039325
1739209681.0762653;-35.57807855764607
1739209681.0762737;-35.57807855764607
1739209681.0762818;-45.120503652039325
1739209681.0762901;-45.120503652039325
1739209681.0762985;-32.816014438256545
1739209681.0763068;-45.120503652039325
1739209681.0763152;-45.120503652039325
1739209681.0763235;-45.120503652039325
1739209681.0763316;-38.13080360867914
1739209681.07634;-38.13080360867914
1739209681.0763483;-38.13080360867914
1739209681.0763566;-38.13080360867914
