CAN Message; 0x150:06004e273b6af83d
Timestamp;Amplitude
1739209606.629805;-38.13080360867914
1739209606.62981;-38.13080360867914
1739209606.629815;-38.13080360867914
1739209606.6298203;-45.120503652039325
1739209606.6298254;-45.120503652039325
1739209606.6298304;-38.13080360867914
1739209606.6298354;-45.120503652039325
1739209606.6298404;-38.13080360867914
1739209606.6298454;-35.57807855764607
1739209606.6298504;-45.120503652039325
1739209606.6298554;-38.13080360867914
1739209606.6298604;-35.57807855764607
1739209606.6298654;-38.13080360867914
1739209606.6298704;-45.120503652039325
1739209606.6298754;-45.120503652039325
1739209606.6298804;-38.13080360867914
1739209606.6298854;-35.57807855764607
1739209606.6298907;-31.141103565318915
1739209606.6298957;-45.120503652039325
1739209606.6299007;-38.13080360867914
1739209606.6299057;-45.120503652039325
1739209606.6299107;-38.13080360867914
1739209606.6299157;-33.981070128970906
1739209606.6299207;-35.57807855764607
1739209606.6299257;-38.13080360867914
1739209606.6299307;-45.120503652039325
1739209606.6299357;-33.981070128970906
1739209606.6299407;-45.120503652039325
1739209606.6299458;-45.120503652039325
1739209606.6299508;-45.120503652039325
1739209606.629956;-45.120503652039325
1739209606.629961;-38.13080360867914
1739209606.629966;-38.13080360867914
1739209606.629971;-45.120503652039325
1739209606.629976;-45.120503652039325
1739209606.629981;-38.13080360867914
1739209606.629986;-38.13080360867914
1739209606.629991;-38.13080360867914
1739209606.629996;-38.13080360867914
1739209606.630001;-45.120503652039325
1739209606.630006;-45.120503652039325
1739209606.630011;-38.13080360867914
1739209606.630016;-38.13080360867914
1739209606.6300213;-38.13080360867914
1739209606.6300263;-38.13080360867914
1739209606.6300313;-35.57807855764607
1739209606.6300364;-31.141103565318915
1739209606.6300414;-45.120503652039325
1739209606.6300464;-38.13080360867914
1739209606.6300514;-33.981070128970906
1739209606.6300564;-45.120503652039325
1739209606.6300614;-45.120503652039325
1739209606.6300664;-38.13080360867914
1739209606.6300714;-45.120503652039325
1739209606.6300764;-32.81601443825658
1739209606.6300814;-38.13080360867914
1739209606.6300864;-45.120503652039325
1739209606.6300917;-45.120503652039325
1739209606.6300967;-38.13080360867914
1739209606.6301017;-38.13080360867914
1739209606.6301067;-38.13080360867914
1739209606.6301117;-45.120503652039325
1739209606.6301167;-28.992665084841942
1739209606.6301217;-38.13080360867914
1739209606.6301267;-45.120503652039325
1739209606.6301317;-45.120503652039325
1739209606.6301367;-45.120503652039325
1739209606.6301417;-35.57807855764607
1739209606.6301467;-38.13080360867914
1739209606.6301517;-38.13080360867914
1739209606.630157;-35.57807855764607
1739209606.630162;-38.13080360867914
1739209606.630167;-33.981070128970906
1739209606.630172;-45.120503652039325
1739209606.630177;-45.120503652039325
1739209606.630182;-32.816014438256545
1739209606.630187;-38.13080360867914
1739209606.630192;-45.120503652039325
1739209606.630197;-45.120503652039325
1739209606.630202;-45.120503652039325
1739209606.630207;-38.13080360867914
1739209606.630212;-38.13080360867914
1739209606.630217;-45.120503652039325
1739209606.6302223;-45.120503652039325
1739209606.6302273;-33.981070128970906
1739209606.6302323;-45.120503652039325
1739209606.6302373;-38.13080360867914
1739209606.6302423;-38.13080360867914
1739209606.6302474;-35.57807855764607
1739209606.6302524;-45.120503652039325
1739209606.6302574;-45.120503652039325
1739209606.6302624;-33.981070128970906
1739209606.6302674;-45.120503652039325
1739209606.6302724;-38.13080360867914
1739209606.6302774;-29.438486411369347
1739209606.6302824;-31.141103565318915
1739209606.6302876;-32.816014438256545
1739209606.6302927;-38.13080360867914
1739209606.6302977;-38.13080360867914
1739209606.6303027;-38.13080360867914
1739209606.6303077;-38.13080360867914
1739209606.6303127;-45.120503652039325
1739209606.6303177;-38.13080360867914
1739209606.6303227;-38.13080360867914
1739209606.6303277;-38.13080360867914
1739209606.6303327;-38.13080360867914
1739209606.6303377;-38.13080360867914
1739209606.6303427;-38.13080360867914
1739209606.6303477;-38.13080360867914
1739209606.6303527;-45.120503652039325
1739209606.630358;-45.120503652039325
1739209606.630363;-33.981070128970906
1739209606.630368;-45.120503652039325
1739209606.630373;-45.120503652039325
1739209606.630378;-45.120503652039325
1739209606.630383;-38.13080360867914
1739209606.630388;-38.13080360867914
1739209606.630393;-45.120503652039325
1739209606.630398;-38.13080360867914
1739209606.630403;-38.13080360867914
1739209606.630408;-45.120503652039325
1739209606.630413;-45.120503652039325
1739209606.630418;-38.13080360867914
1739209606.6304233;-45.120503652039325
1739209606.6304283;-38.13080360867914
1739209606.6304333;-33.981070128970906
1739209606.6304383;-38.13080360867914
1739209606.6304433;-38.13080360867914
1739209606.6304483;-38.13080360867914
1739209606.6304533;-38.13080360867914
1739209606.6304584;-38.13080360867914
1739209606.6304634;-38.13080360867914
1739209606.6304684;-38.13080360867914
1739209606.6304734;-45.120503652039325
1739209606.6304784;-45.120503652039325
1739209606.6304834;-35.57807855764607
1739209606.6304886;-35.57807855764607
1739209606.6304936;-45.120503652039325
1739209606.6304986;-45.120503652039325
1739209606.6305037;-32.816014438256545
1739209606.6305087;-38.13080360867914
1739209606.6305137;-45.120503652039325
1739209606.6305187;-38.13080360867914
1739209606.6305237;-45.120503652039325
1739209606.6305287;-33.981070128970906
1739209606.6305337;-45.120503652039325
1739209606.6305387;-45.120503652039325
1739209606.6305437;-33.981070128970906
1739209606.6305487;-45.120503652039325
1739209606.6305537;-45.120503652039325
1739209606.630559;-45.120503652039325
1739209606.630564;-31.141103565318893
1739209606.630569;-32.816014438256545
1739209606.630574;-38.13080360867914
1739209606.630579;-45.120503652039325
1739209606.630584;-38.13080360867914
