CAN Message; 0x77:ea68fed32fb77d7b
Timestamp;Amplitude
1739209889.9551678;-38.13080360867914
1739209889.9551716;-35.57807855764607
1739209889.9551756;-45.120503652039325
1739209889.9551795;-38.13080360867914
1739209889.9551833;-33.981070128970906
1739209889.955187;-38.13080360867914
1739209889.9551911;-45.120503652039325
1739209889.955195;-38.13080360867914
1739209889.9551988;-38.13080360867914
1739209889.9552026;-45.120503652039325
1739209889.9552066;-45.120503652039325
1739209889.9552104;-45.120503652039325
1739209889.9552143;-45.120503652039325
1739209889.955218;-32.816014438256545
1739209889.9552221;-45.120503652039325
1739209889.955226;-45.120503652039325
1739209889.9552298;-33.981070128970906
1739209889.9552338;-38.13080360867914
1739209889.9552376;-38.13080360867914
1739209889.9552414;-45.120503652039325
1739209889.9552453;-35.57807855764607
1739209889.9552493;-38.13080360867914
1739209889.9552531;-38.13080360867914
1739209889.955257;-35.57807855764607
1739209889.9552608;-38.13080360867914
1739209889.9552648;-32.816014438256545
1739209889.9552686;-45.120503652039325
1739209889.9552724;-45.120503652039325
1739209889.9552763;-33.981070128970906
1739209889.9552803;-38.13080360867914
1739209889.955284;-45.120503652039325
1739209889.955288;-32.81601443825658
1739209889.9552917;-38.13080360867914
1739209889.9552958;-45.120503652039325
1739209889.9552996;-45.120503652039325
1739209889.9553034;-45.120503652039325
1739209889.9553075;-45.120503652039325
1739209889.9553113;-45.120503652039325
1739209889.955315;-35.57807855764607
1739209889.955319;-26.991370085610722
1739209889.955323;-38.13080360867914
1739209889.9553268;-45.120503652039325
1739209889.9553306;-45.120503652039325
1739209889.9553344;-33.981070128970906
1739209889.9553385;-38.13080360867914
1739209889.9553423;-45.120503652039325
1739209889.955346;-45.120503652039325
1739209889.95535;-45.120503652039325
1739209889.955354;-45.120503652039325
1739209889.9553578;-45.120503652039325
1739209889.9553616;-45.120503652039325
1739209889.9553657;-38.13080360867914
1739209889.9553695;-38.13080360867914
1739209889.9553733;-45.120503652039325
1739209889.955377;-38.13080360867914
1739209889.9553812;-38.13080360867914
1739209889.955385;-38.13080360867914
1739209889.9553888;-38.13080360867914
1739209889.9553926;-38.13080360867914
1739209889.9553967;-38.13080360867914
1739209889.9554005;-45.120503652039325
1739209889.9554043;-45.120503652039325
1739209889.955408;-33.981070128970906
1739209889.9554121;-31.141103565318915
1739209889.955416;-38.13080360867914
1739209889.9554198;-45.120503652039325
1739209889.9554238;-45.120503652039325
1739209889.9554276;-33.981070128970906
1739209889.9554315;-38.13080360867914
1739209889.9554353;-38.13080360867914
1739209889.9554393;-38.13080360867914
1739209889.9554431;-33.981070128970906
1739209889.955447;-33.981070128970906
1739209889.9554508;-38.13080360867914
1739209889.9554548;-45.120503652039325
1739209889.9554586;-45.120503652039325
1739209889.9554625;-45.120503652039325
1739209889.9554663;-38.13080360867914
1739209889.9554703;-45.120503652039325
1739209889.9554741;-33.981070128970906
1739209889.955478;-33.981070128970906
1739209889.955482;-45.120503652039325
1739209889.9554858;-45.120503652039325
1739209889.9554896;-35.57807855764607
