CAN Message; 0x1d3:0000e178396d4ff6
Timestamp;Amplitude
1739209865.1320846;-45.120503652039325
1739209865.1320922;-45.120503652039325
1739209865.1320996;-38.13080360867914
1739209865.1321073;-38.13080360867914
1739209865.1321146;-38.13080360867914
1739209865.1321223;-38.13080360867914
1739209865.1321297;-30.49652367304973
1739209865.1321373;-38.13080360867914
1739209865.1321447;-38.13080360867914
1739209865.1321523;-33.981070128970906
1739209865.1321597;-45.120503652039325
1739209865.1321673;-45.120503652039325
1739209865.1321747;-32.816014438256545
1739209865.1321824;-38.13080360867914
1739209865.1321898;-45.120503652039325
1739209865.1321974;-35.57807855764607
1739209865.1322048;-32.816014438256545
1739209865.1322124;-45.120503652039325
1739209865.1322198;-45.120503652039325
1739209865.1322274;-38.13080360867914
1739209865.1322348;-45.120503652039325
1739209865.1322424;-38.13080360867914
1739209865.1322498;-38.13080360867914
1739209865.1322575;-38.13080360867914
1739209865.1322649;-35.57807855764607
1739209865.1322725;-38.13080360867914
1739209865.1322799;-45.120503652039325
1739209865.1322875;-38.13080360867914
1739209865.132295;-45.120503652039325
1739209865.1323025;-38.13080360867914
1739209865.13231;-35.57807855764607
1739209865.1323175;-38.13080360867914
1739209865.132325;-45.120503652039325
1739209865.1323326;-35.57807855764607
1739209865.13234;-38.13080360867914
1739209865.1323476;-38.13080360867914
1739209865.132355;-35.57807855764607
1739209865.1323626;-38.13080360867914
1739209865.13237;-45.120503652039325
1739209865.1323776;-45.120503652039325
1739209865.132385;-45.120503652039325
1739209865.1323926;-45.120503652039325
1739209865.1324;-38.13080360867914
1739209865.1324077;-33.981070128970906
1739209865.132415;-45.120503652039325
1739209865.1324227;-45.120503652039325
1739209865.13243;-32.816014438256545
1739209865.1324377;-45.120503652039325
1739209865.132445;-45.120503652039325
1739209865.1324525;-45.120503652039325
1739209865.13246;-35.57807855764607
1739209865.1324675;-45.120503652039325
1739209865.1324751;-38.13080360867914
1739209865.1324825;-35.57807855764607
1739209865.1324902;-45.120503652039325
1739209865.1324975;-45.120503652039325
