CAN Message; 0x1b8:02008b1f66a671f1
Timestamp;Amplitude
1739209806.2441916;-45.120503652039325
1739209806.2441943;-45.120503652039325
1739209806.244197;-38.13080360867914
1739209806.2441995;-38.13080360867914
1739209806.2442021;-45.120503652039325
1739209806.2442045;-38.13080360867914
1739209806.2442071;-38.13080360867914
1739209806.2442098;-38.13080360867914
1739209806.2442124;-38.13080360867914
1739209806.244215;-45.120503652039325
1739209806.2442176;-38.13080360867914
1739209806.24422;-33.981070128970906
1739209806.2442226;-45.120503652039325
1739209806.2442253;-45.120503652039325
1739209806.244228;-38.13080360867914
1739209806.2442305;-35.57807855764607
1739209806.2442331;-38.13080360867914
1739209806.2442355;-38.13080360867914
1739209806.2442381;-35.57807855764607
1739209806.2442408;-38.13080360867914
1739209806.2442434;-45.120503652039325
1739209806.244246;-45.120503652039325
1739209806.2442486;-35.57807855764607
1739209806.244251;-38.13080360867914
1739209806.2442536;-45.120503652039325
1739209806.2442563;-38.13080360867914
1739209806.2442589;-38.13080360867914
1739209806.2442615;-45.120503652039325
1739209806.244264;-45.120503652039325
1739209806.2442665;-38.13080360867914
1739209806.2442691;-45.120503652039325
1739209806.2442718;-45.120503652039325
1739209806.2442744;-38.13080360867914
1739209806.244277;-38.13080360867914
1739209806.2442794;-38.13080360867914
1739209806.244282;-38.13080360867914
1739209806.2442846;-38.13080360867914
1739209806.2442873;-45.120503652039325
1739209806.2442899;-45.120503652039325
1739209806.2442925;-45.120503652039325
1739209806.244295;-45.120503652039325
1739209806.2442975;-38.13080360867914
1739209806.2443001;-45.120503652039325
1739209806.2443027;-45.120503652039325
1739209806.2443054;-45.120503652039325
1739209806.244308;-38.13080360867914
1739209806.2443104;-45.120503652039325
1739209806.244313;-38.13080360867914
1739209806.2443156;-45.120503652039325
1739209806.2443182;-45.120503652039325
1739209806.2443209;-45.120503652039325
1739209806.2443235;-38.13080360867914
1739209806.2443259;-29.438486411369333
1739209806.2443285;-45.120503652039325
1739209806.2443311;-45.120503652039325
1739209806.2443337;-38.13080360867914
1739209806.2443364;-35.57807855764607
1739209806.244339;-45.120503652039325
1739209806.2443414;-45.120503652039325
1739209806.244344;-45.120503652039325
1739209806.2443466;-45.120503652039325
1739209806.2443492;-38.13080360867914
1739209806.2443519;-45.120503652039325
1739209806.2443545;-45.120503652039325
1739209806.2443569;-45.120503652039325
1739209806.2443595;-45.120503652039325
1739209806.244362;-45.120503652039325
1739209806.2443647;-38.13080360867914
1739209806.2443674;-38.13080360867914
1739209806.2443697;-38.13080360867914
1739209806.2443724;-35.57807855764607
1739209806.244375;-45.120503652039325
1739209806.2443776;-35.57807855764607
1739209806.2443802;-45.120503652039325
1739209806.2443829;-45.120503652039325
1739209806.2443852;-45.120503652039325
1739209806.2443879;-45.120503652039325
1739209806.2443905;-38.13080360867914
1739209806.244393;-38.13080360867914
1739209806.2443957;-45.120503652039325
1739209806.2443984;-45.120503652039325
1739209806.2444007;-38.13080360867914
1739209806.2444034;-38.13080360867914
1739209806.244406;-45.120503652039325
1739209806.2444086;-45.120503652039325
1739209806.2444112;-38.13080360867914
1739209806.2444139;-35.57807855764607
1739209806.2444162;-38.13080360867914
1739209806.2444189;-38.13080360867914
1739209806.2444215;-45.120503652039325
1739209806.244424;-45.120503652039325
1739209806.2444267;-45.120503652039325
1739209806.2444293;-29.438486411369333
1739209806.2444317;-45.120503652039325
1739209806.2444344;-45.120503652039325
1739209806.244437;-45.120503652039325
1739209806.2444396;-45.120503652039325
1739209806.2444422;-45.120503652039325
1739209806.2444448;-45.120503652039325
1739209806.2444472;-45.120503652039325
1739209806.2444499;-35.57807855764607
1739209806.2444525;-45.120503652039325
1739209806.244455;-45.120503652039325
1739209806.2444577;-45.120503652039325
1739209806.24446;-38.13080360867914
1739209806.2444627;-45.120503652039325
1739209806.2444654;-45.120503652039325
1739209806.244468;-38.13080360867914
1739209806.2444706;-25.826314394896354
1739209806.2444732;-35.57807855764607
1739209806.2444756;-45.120503652039325
1739209806.2444782;-38.13080360867914
1739209806.2444808;-35.57807855764607
1739209806.2444835;-38.13080360867914
1739209806.244486;-45.120503652039325
1739209806.2444887;-45.120503652039325
1739209806.244491;-45.120503652039325
1739209806.2444937;-45.120503652039325
1739209806.2444963;-45.120503652039325
1739209806.244499;-38.13080360867914
1739209806.2445016;-38.13080360867914
1739209806.2445042;-45.120503652039325
1739209806.2445066;-45.120503652039325
1739209806.2445092;-45.120503652039325
1739209806.2445118;-28.58837851428586
1739209806.2445145;-33.981070128970906
1739209806.244517;-45.120503652039325
1739209806.2445197;-45.120503652039325
1739209806.244522;-38.13080360867914
1739209806.2445247;-38.13080360867914
1739209806.2445273;-45.120503652039325
1739209806.24453;-45.120503652039325
1739209806.2445326;-33.981070128970906
1739209806.2445352;-35.57807855764607
1739209806.2445376;-45.120503652039325
1739209806.2445402;-45.120503652039325
1739209806.2445428;-33.981070128970906
1739209806.2445455;-33.981070128970906
1739209806.244548;-38.13080360867914
1739209806.2445507;-33.981070128970906
1739209806.244553;-38.13080360867914
1739209806.2445557;-38.13080360867914
1739209806.2445583;-38.13080360867914
1739209806.244561;-38.13080360867914
1739209806.2445636;-45.120503652039325
1739209806.244566;-45.120503652039325
1739209806.2445686;-38.13080360867914
1739209806.2445712;-38.13080360867914
1739209806.2445738;-33.981070128970906
1739209806.2445765;-33.981070128970906
1739209806.244579;-38.13080360867914
1739209806.2445815;-38.13080360867914
1739209806.244584;-45.120503652039325
1739209806.2445867;-38.13080360867914
1739209806.2445893;-35.57807855764607
1739209806.244592;-45.120503652039325
1739209806.2445946;-33.981070128970906
1739209806.244597;-35.57807855764607
1739209806.2445996;-38.13080360867914
1739209806.2446022;-38.13080360867914
1739209806.2446048;-38.13080360867914
1739209806.2446074;-33.981070128970906
1739209806.24461;-38.13080360867914
1739209806.2446125;-35.57807855764607
1739209806.244615;-45.120503652039325
1739209806.2446177;-45.120503652039325
1739209806.2446203;-35.57807855764607
1739209806.244623;-38.13080360867914
1739209806.2446256;-45.120503652039325
1739209806.244628;-45.120503652039325
1739209806.2446306;-45.120503652039325
1739209806.2446332;-45.120503652039325
1739209806.2446358;-38.13080360867914
1739209806.2446384;-38.13080360867914
1739209806.244641;-38.13080360867914
1739209806.2446434;-38.13080360867914
1739209806.244646;-45.120503652039325
1739209806.2446487;-35.57807855764607
1739209806.2446513;-45.120503652039325
1739209806.244654;-38.13080360867914
1739209806.2446566;-38.13080360867914
1739209806.244659;-35.57807855764607
1739209806.2446616;-45.120503652039325
1739209806.2446642;-38.13080360867914
1739209806.2446668;-38.13080360867914
1739209806.2446694;-38.13080360867914
1739209806.2446718;-45.120503652039325
1739209806.2446744;-45.120503652039325
1739209806.244677;-35.57807855764607
1739209806.2446797;-38.13080360867914
1739209806.2446823;-45.120503652039325
1739209806.244685;-45.120503652039325
1739209806.2446873;-38.13080360867914
1739209806.24469;-38.13080360867914
1739209806.2446926;-38.13080360867914
1739209806.2446952;-38.13080360867914
1739209806.2446978;-38.13080360867914
1739209806.2447004;-38.13080360867914
1739209806.2447028;-45.120503652039325
1739209806.2447054;-45.120503652039325
1739209806.244708;-45.120503652039325
1739209806.2447107;-38.13080360867914
1739209806.2447133;-45.120503652039325
1739209806.244716;-45.120503652039325
1739209806.2447183;-45.120503652039325
1739209806.244721;-45.120503652039325
1739209806.2447236;-35.57807855764607
1739209806.2447262;-38.13080360867914
1739209806.2447288;-45.120503652039325
1739209806.2447314;-45.120503652039325
1739209806.2447338;-38.13080360867914
