CAN Message; 0x1d3:000042c25575a59d
Timestamp;Amplitude
1739209855.3927135;-45.120503652039325
1739209855.3927155;-38.13080360867914
1739209855.3927176;-35.57807855764607
1739209855.3927197;-45.120503652039325
1739209855.392722;-45.120503652039325
1739209855.3927238;-45.120503652039325
1739209855.392726;-38.13080360867914
1739209855.392728;-45.120503652039325
1739209855.3927302;-45.120503652039325
1739209855.3927321;-38.13080360867914
1739209855.3927343;-31.141103565318893
1739209855.3927364;-38.13080360867914
1739209855.3927386;-38.13080360867914
1739209855.3927405;-45.120503652039325
1739209855.3927426;-33.981070128970906
1739209855.3927448;-33.981070128970906
1739209855.392747;-45.120503652039325
1739209855.3927488;-38.13080360867914
1739209855.392751;-38.13080360867914
1739209855.3927531;-45.120503652039325
1739209855.392755;-45.120503652039325
1739209855.3927572;-45.120503652039325
1739209855.3927593;-45.120503652039325
1739209855.3927615;-38.13080360867914
1739209855.3927634;-45.120503652039325
1739209855.3927655;-45.120503652039325
1739209855.3927677;-38.13080360867914
1739209855.3927698;-45.120503652039325
1739209855.3927717;-45.120503652039325
1739209855.3927739;-45.120503652039325
1739209855.392776;-38.13080360867914
1739209855.3927782;-33.981070128970906
1739209855.39278;-38.13080360867914
1739209855.3927822;-33.981070128970906
1739209855.3927844;-45.120503652039325
1739209855.3927865;-38.13080360867914
1739209855.3927884;-38.13080360867914
1739209855.3927906;-45.120503652039325
1739209855.3927927;-45.120503652039325
1739209855.3927948;-28.218542851754165
1739209855.3927968;-35.57807855764607
1739209855.392799;-38.13080360867914
1739209855.392801;-45.120503652039325
1739209855.3928032;-33.981070128970906
1739209855.392805;-32.816014438256545
1739209855.3928072;-38.13080360867914
1739209855.3928094;-38.13080360867914
1739209855.3928115;-28.992665084841942
1739209855.3928134;-45.120503652039325
1739209855.3928156;-45.120503652039325
1739209855.3928177;-38.13080360867914
1739209855.39282;-38.13080360867914
1739209855.3928218;-38.13080360867914
1739209855.392824;-45.120503652039325
1739209855.392826;-45.120503652039325
1739209855.392828;-38.13080360867914
1739209855.3928301;-38.13080360867914
1739209855.3928323;-38.13080360867914
1739209855.3928344;-45.120503652039325
1739209855.3928363;-38.13080360867914
1739209855.3928385;-45.120503652039325
1739209855.3928406;-45.120503652039325
1739209855.3928428;-45.120503652039325
1739209855.3928447;-45.120503652039325
1739209855.3928468;-45.120503652039325
1739209855.392849;-38.13080360867914
1739209855.392851;-38.13080360867914
1739209855.392853;-45.120503652039325
1739209855.3928552;-38.13080360867914
1739209855.3928573;-45.120503652039325
1739209855.3928595;-38.13080360867914
1739209855.3928614;-31.14110356531892
1739209855.3928635;-38.13080360867914
1739209855.3928657;-38.13080360867914
1739209855.3928678;-45.120503652039325
1739209855.3928697;-33.981070128970906
1739209855.3928719;-45.120503652039325
1739209855.392874;-45.120503652039325
1739209855.3928761;-45.120503652039325
1739209855.392878;-27.267205301931607
1739209855.3928802;-33.981070128970906
1739209855.3928823;-45.120503652039325
1739209855.3928845;-45.120503652039325
1739209855.3928864;-38.13080360867914
1739209855.3928885;-45.120503652039325
1739209855.3928907;-38.13080360867914
1739209855.3928926;-45.120503652039325
1739209855.3928947;-45.120503652039325
1739209855.392897;-38.13080360867914
1739209855.392899;-38.13080360867914
1739209855.392901;-38.13080360867914
1739209855.392903;-33.981070128970906
1739209855.3929052;-32.816014438256545
1739209855.3929074;-38.13080360867914
1739209855.3929093;-45.120503652039325
1739209855.3929114;-38.13080360867914
1739209855.3929136;-35.57807855764607
1739209855.3929157;-38.13080360867914
1739209855.3929176;-45.120503652039325
1739209855.3929198;-38.13080360867914
1739209855.392922;-38.13080360867914
1739209855.392924;-45.120503652039325
1739209855.392926;-45.120503652039325
1739209855.3929281;-31.141103565318915
1739209855.3929303;-38.13080360867914
1739209855.3929324;-38.13080360867914
1739209855.3929343;-35.57807855764607
1739209855.3929365;-38.13080360867914
1739209855.3929386;-45.120503652039325
1739209855.3929408;-38.13080360867914
1739209855.3929427;-45.120503652039325
1739209855.3929448;-45.120503652039325
1739209855.392947;-38.13080360867914
1739209855.392949;-38.13080360867914
1739209855.392951;-45.120503652039325
1739209855.3929532;-38.13080360867914
1739209855.3929553;-35.57807855764607
1739209855.3929572;-45.120503652039325
1739209855.3929594;-38.13080360867914
1739209855.3929615;-35.57807855764607
1739209855.3929636;-35.57807855764607
1739209855.3929656;-38.13080360867914
1739209855.3929677;-45.120503652039325
1739209855.3929698;-45.120503652039325
1739209855.392972;-45.120503652039325
1739209855.392974;-38.13080360867914
1739209855.392976;-38.13080360867914
1739209855.3929782;-38.13080360867914
1739209855.3929803;-45.120503652039325
1739209855.3929822;-45.120503652039325
1739209855.3929844;-38.13080360867914
1739209855.3929865;-38.13080360867914
1739209855.3929887;-45.120503652039325
1739209855.3929906;-45.120503652039325
1739209855.3929927;-38.13080360867914
1739209855.3929949;-38.13080360867914
1739209855.392997;-38.13080360867914
1739209855.392999;-38.13080360867914
1739209855.393001;-45.120503652039325
1739209855.3930032;-45.120503652039325
1739209855.3930054;-38.13080360867914
1739209855.3930073;-38.13080360867914
1739209855.3930094;-45.120503652039325
1739209855.3930116;-45.120503652039325
1739209855.3930137;-45.120503652039325
1739209855.3930156;-45.120503652039325
1739209855.3930178;-45.120503652039325
1739209855.39302;-45.120503652039325
1739209855.393022;-45.120503652039325
1739209855.393024;-38.13080360867914
1739209855.393026;-45.120503652039325
1739209855.3930283;-38.13080360867914
1739209855.3930302;-38.13080360867914
1739209855.3930323;-45.120503652039325
1739209855.3930345;-45.120503652039325
1739209855.3930366;-38.13080360867914
1739209855.3930385;-29.438486411369333
1739209855.3930407;-45.120503652039325
1739209855.3930428;-45.120503652039325
1739209855.393045;-38.13080360867914
1739209855.3930469;-30.49652367304973
1739209855.393049;-35.57807855764607
1739209855.3930511;-45.120503652039325
1739209855.3930533;-45.120503652039325
1739209855.3930552;-38.13080360867914
1739209855.3930573;-45.120503652039325
1739209855.3930595;-45.120503652039325
1739209855.3930616;-45.120503652039325
1739209855.3930635;-38.13080360867914
1739209855.3930657;-45.120503652039325
1739209855.3930678;-38.13080360867914
1739209855.39307;-35.57807855764607
1739209855.393072;-38.13080360867914
1739209855.393074;-45.120503652039325
1739209855.3930762;-35.57807855764607
1739209855.3930783;-45.120503652039325
1739209855.3930802;-30.49652367304973
