CAN Message; 0x150:060074f17144f0e4
Timestamp;Amplitude
1739209868.4269423;-38.13080360867914
1739209868.4269454;-33.981070128970906
1739209868.4269485;-33.981070128970956
1739209868.4269516;-45.120503652039325
1739209868.4269547;-33.981070128970906
1739209868.4269578;-30.49652367304973
1739209868.426961;-28.588378514285886
1739209868.426964;-38.13080360867914
1739209868.426967;-33.981070128970906
1739209868.42697;-35.57807855764607
1739209868.426973;-28.992665084841942
1739209868.4269762;-31.141103565318893
1739209868.4269793;-38.13080360867914
1739209868.4269824;-33.981070128970906
1739209868.4269855;-45.120503652039325
1739209868.4269886;-33.981070128970906
1739209868.4269915;-32.81601443825658
1739209868.4269946;-45.120503652039325
1739209868.4269977;-33.981070128970906
1739209868.4270008;-31.141103565318915
1739209868.4270039;-29.438486411369354
1739209868.427007;-32.81601443825658
1739209868.42701;-28.218542851754165
1739209868.4270132;-26.035653463252796
1739209868.4270163;-28.992665084841942
1739209868.4270191;-27.267205301931607
1739209868.4270222;-27.8777449560314
1739209868.4270253;-38.13080360867914
1739209868.4270284;-31.141103565318943
1739209868.4270315;-35.57807855764607
1739209868.4270346;-28.992665084841942
1739209868.4270377;-33.981070128970906
1739209868.4270408;-32.81601443825658
1739209868.427044;-32.816014438256545
1739209868.4270468;-29.438486411369333
1739209868.4270499;-38.13080360867914
1739209868.427053;-32.816014438256545
1739209868.427056;-38.13080360867914
1739209868.4270592;-38.13080360867914
1739209868.4270623;-32.816014438256545
1739209868.4270654;-23.16150712794695
1739209868.4270685;-38.13080360867914
1739209868.4270713;-38.13080360867914
1739209868.4270744;-32.816014438256545
1739209868.4270775;-38.13080360867914
1739209868.4270806;-28.992665084841942
1739209868.4270837;-23.38864096791655
1739209868.4270868;-27.267205301931607
1739209868.42709;-30.49652367304976
1739209868.427093;-28.58837851428586
1739209868.4270961;-45.120503652039325
1739209868.427099;-30.49652367304973
1739209868.427102;-33.981070128970906
1739209868.4271052;-31.141103565318915
1739209868.4271083;-30.49652367304973
1739209868.4271114;-33.981070128970906
1739209868.4271145;-32.816014438256545
1739209868.4271176;-38.13080360867914
1739209868.4271207;-33.981070128970956
1739209868.4271235;-27.8777449560314
1739209868.4271266;-28.992665084841942
1739209868.4271297;-45.120503652039325
1739209868.4271328;-33.981070128970906
1739209868.427136;-38.13080360867914
1739209868.427139;-27.267205301931607
1739209868.4271421;-25.62660358559016
1739209868.4271452;-33.981070128970906
1739209868.4271483;-45.120503652039325
1739209868.4271512;-28.992665084841942
1739209868.4271543;-30.49652367304973
1739209868.4271574;-35.57807855764607
1739209868.4271605;-32.816014438256545
1739209868.4271636;-29.438486411369347
1739209868.4271667;-45.120503652039325
1739209868.4271698;-33.981070128970906
1739209868.427173;-45.120503652039325
1739209868.4271758;-38.13080360867914
1739209868.4271789;-45.120503652039325
1739209868.427182;-29.438486411369333
1739209868.427185;-45.120503652039325
1739209868.4271882;-35.57807855764607
1739209868.4271913;-45.120503652039325
1739209868.4271944;-35.57807855764607
1739209868.4271975;-28.58837851428586
1739209868.4272006;-33.981070128970956
1739209868.4272034;-35.57807855764607
1739209868.4272065;-31.141103565318915
1739209868.4272096;-30.49652367304973
1739209868.4272127;-30.49652367304976
1739209868.4272158;-31.141103565318893
1739209868.427219;-32.816014438256545
1739209868.427222;-45.120503652039325
1739209868.427225;-27.267205301931607
1739209868.427228;-31.141103565318915
1739209868.427231;-30.49652367304973
1739209868.4272342;-32.816014438256545
1739209868.4272373;-26.991370085610754
1739209868.4272404;-24.15140352195873
1739209868.4272435;-32.81601443825658
1739209868.4272466;-38.13080360867914
1739209868.4272497;-35.57807855764607
1739209868.4272528;-45.120503652039325
1739209868.4272556;-38.13080360867914
1739209868.4272587;-31.141103565318915
1739209868.4272618;-30.49652367304973
1739209868.427265;-33.981070128970906
1739209868.427268;-26.991370085610722
1739209868.4272711;-33.981070128970906
1739209868.4272742;-31.141103565318893
1739209868.4272773;-33.981070128970906
